delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion
2.5,11,28,8,4,0.7,0.2,0.1
2.5,12,40,0,0,1.0,0.0,0.0
2.5,13,13,21,6,0.325,0.525,0.15
2.5,14,40,0,0,1.0,0.0,0.0
2.5,15,16,14,10,0.4,0.35,0.25
2.5,16,40,0,0,1.0,0.0,0.0
2.5,17,40,0,0,1.0,0.0,0.0
2.5,18,26,12,2,0.65,0.3,0.05
2.5,19,30,8,2,0.75,0.2,0.05
2.5,20,17,19,4,0.425,0.475,0.1
2.5,21,40,0,0,1.0,0.0,0.0
2.5,22,29,7,4,0.725,0.175,0.1
2.5,23,12,23,5,0.3,0.575,0.125
2.5,24,40,0,0,1.0,0.0,0.0
2.5,25,40,0,0,1.0,0.0,0.0
2.5,26,11,22,7,0.275,0.55,0.175
2.5,27,40,0,0,1.0,0.0,0.0
2.5,28,22,15,3,0.55,0.375,0.075
2.5,29,27,10,3,0.675,0.25,0.075
2.5,30,40,0,0,1.0,0.0,0.0
2.5,31,40,0,0,1.0,0.0,0.0
2.5,32,22,14,4,0.55,0.35,0.1
2.5,33,40,0,0,1.0,0.0,0.0
2.5,34,13,21,6,0.325,0.525,0.15
2.5,35,23,12,5,0.575,0.3,0.125
2.5,36,20,16,4,0.5,0.4,0.1
2.5,37,9,24,7,0.225,0.6,0.175
2.5,38,24,11,5,0.6,0.275,0.125
2.5,39,30,8,2,0.75,0.2,0.05
2.5,40,40,0,0,1.0,0.0,0.0
2.5,41,14,18,8,0.35,0.45,0.2
2.5,42,40,0,0,1.0,0.0,0.0
2.5,43,40,0,0,1.0,0.0,0.0
2.5,44,40,0,0,1.0,0.0,0.0
2.5,45,25,11,4,0.625,0.275,0.1
2.5,46,16,18,6,0.4,0.45,0.15
2.5,47,12,22,6,0.3,0.55,0.15
2.5,48,16,23,1,0.4,0.575,0.025
2.5,49,40,0,0,1.0,0.0,0.0
2.5,50,13,16,11,0.325,0.4,0.275
2.5,51,13,21,6,0.325,0.525,0.15
2.5,52,40,0,0,1.0,0.0,0.0
2.5,53,40,0,0,1.0,0.0,0.0
2.5,54,40,0,0,1.0,0.0,0.0
2.5,55,40,0,0,1.0,0.0,0.0
2.5,56,40,0,0,1.0,0.0,0.0
2.5,57,40,0,0,1.0,0.0,0.0
2.5,58,22,10,8,0.55,0.25,0.2
2.5,59,40,0,0,1.0,0.0,0.0
2.5,60,8,25,7,0.2,0.625,0.175
2.5,61,14,16,10,0.35,0.4,0.25
2.5,62,17,19,4,0.425,0.475,0.1
2.5,63,10,22,8,0.25,0.55,0.2
2.5,64,21,12,7,0.525,0.3,0.175
2.5,65,13,21,6,0.325,0.525,0.15
2.5,66,40,0,0,1.0,0.0,0.0
2.5,67,40,0,0,1.0,0.0,0.0
2.5,68,15,20,5,0.375,0.5,0.125
2.5,69,15,12,13,0.375,0.3,0.325
2.5,70,25,11,4,0.625,0.275,0.1
2.5,71,40,0,0,1.0,0.0,0.0
2.5,72,26,10,4,0.65,0.25,0.1
2.5,73,22,15,3,0.55,0.375,0.075
2.5,74,20,16,4,0.5,0.4,0.1
2.5,75,16,16,8,0.4,0.4,0.2
2.5,76,24,12,4,0.6,0.3,0.1
