delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion,nnd_before_predator
4.0,151,13,18,9,0.325,0.45,0.225,5.661162238483815
4.0,153,6,22,12,0.15,0.55,0.3,5.435906175401723
4.0,155,11,19,10,0.275,0.475,0.25,6.654967135353708
4.0,156,11,19,10,0.275,0.475,0.25,6.854113034558793
4.0,154,13,14,13,0.325,0.35,0.325,5.5884182948923895
4.0,161,40,0,0,1.0,0.0,0.0,7.9524677770911865
4.0,163,40,0,0,1.0,0.0,0.0,6.340611156643748
4.0,164,40,0,0,1.0,0.0,0.0,4.6163237989607175
4.0,159,27,8,5,0.675,0.2,0.125,5.942828723515073
4.0,165,40,0,0,1.0,0.0,0.0,6.001295344720731
4.0,158,4,26,10,0.1,0.65,0.25,5.645409789334122
4.0,157,11,22,7,0.275,0.55,0.175,8.493193269835158
4.0,160,10,25,5,0.25,0.625,0.125,6.811754424131349
4.0,162,27,9,4,0.675,0.225,0.1,5.689424997771838
4.0,174,40,0,0,1.0,0.0,0.0,6.900779429531781
4.0,166,18,15,7,0.45,0.375,0.175,5.567981045701748
4.0,170,22,12,6,0.55,0.3,0.15,6.874785590157771
4.0,168,15,15,10,0.375,0.375,0.25,6.930909056271824
4.0,167,15,18,7,0.375,0.45,0.175,5.460757588274004
4.0,171,7,25,8,0.175,0.625,0.2,6.032788951878551
4.0,169,7,22,11,0.175,0.55,0.275,7.609649165240145
4.0,177,15,17,8,0.375,0.425,0.2,8.642299583388997
4.0,172,10,19,11,0.25,0.475,0.275,6.27464029705364
4.0,176,10,21,9,0.25,0.525,0.225,5.432800476737081
4.0,173,7,22,11,0.175,0.55,0.275,8.692009286227407
4.0,175,5,22,13,0.125,0.55,0.325,6.09321548536776
4.0,180,6,27,7,0.15,0.675,0.175,4.778736173812221
4.0,178,9,20,11,0.225,0.5,0.275,4.913795141153619
4.0,179,4,31,5,0.1,0.775,0.125,5.228700285524906
4.0,186,40,0,0,1.0,0.0,0.0,7.346724958555231
4.0,181,15,19,6,0.375,0.475,0.15,9.322461014580957
4.0,185,25,10,5,0.625,0.25,0.125,8.173430843613962
4.0,183,18,13,9,0.45,0.325,0.225,9.183744170129057
4.0,182,8,25,7,0.2,0.625,0.175,6.226248437669672
4.0,184,14,21,5,0.35,0.525,0.125,5.592716899172288
4.0,190,14,19,7,0.35,0.475,0.175,6.255847385118682
4.0,187,10,22,8,0.25,0.55,0.2,5.617810940234657
