delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion,nnd_before_predator
0.5,82,3,35,2,0.075,0.875,0.05,2.6262206777925194
0.5,89,4,34,2,0.1,0.85,0.05,3.7495641336235863
0.5,85,5,33,2,0.125,0.825,0.05,3.5402453796439453
0.5,86,5,34,1,0.125,0.85,0.025,3.664738968411143
0.5,87,12,27,1,0.3,0.675,0.025,3.06202698557903
0.5,88,6,30,4,0.15,0.75,0.1,3.5608462004928034
0.5,93,4,32,4,0.1,0.8,0.1,3.5477361301387695
0.5,90,9,29,2,0.225,0.725,0.05,3.7138626672258384
0.5,91,7,28,5,0.175,0.7,0.125,4.051469834709101
0.5,94,7,31,2,0.175,0.775,0.05,2.9994696473856943
0.5,92,6,29,5,0.15,0.725,0.125,3.4665427953818146
0.5,98,10,28,2,0.25,0.7,0.05,3.5211894230039484
0.5,96,10,27,3,0.25,0.675,0.075,3.6219771977924573
0.5,95,10,26,4,0.25,0.65,0.1,3.5786497795477006
0.5,101,7,31,2,0.175,0.775,0.05,3.3633686183196994
0.5,97,3,33,4,0.075,0.825,0.1,3.103355811144141
0.5,99,5,32,3,0.125,0.8,0.075,3.1949520140564913
0.5,102,5,31,4,0.125,0.775,0.1,3.746979250893547
0.5,100,8,26,6,0.2,0.65,0.15,4.305836855122076
0.5,108,8,29,3,0.2,0.725,0.075,5.350276860858772
0.5,103,4,35,1,0.1,0.875,0.025,4.052168152128795
0.5,106,11,28,1,0.275,0.7,0.025,3.182054561617975
0.5,105,5,31,4,0.125,0.775,0.1,3.728786132461997
0.5,104,7,28,5,0.175,0.7,0.125,3.909535087961032
0.5,109,9,28,3,0.225,0.7,0.075,3.34426534261816
0.5,110,6,29,5,0.15,0.725,0.125,3.334721745197888
0.5,107,10,24,6,0.25,0.6,0.15,2.850760791277041
0.5,112,6,32,2,0.15,0.8,0.05,3.349088816186736
0.5,113,5,33,2,0.125,0.825,0.05,3.233889162775287
0.5,111,8,28,4,0.2,0.7,0.1,3.626998592642258
0.5,114,9,30,1,0.225,0.75,0.025,3.097114903808053
0.5,115,5,31,4,0.125,0.775,0.1,3.18199910130341
0.5,119,9,28,3,0.225,0.7,0.075,3.832640092345554
0.5,118,9,25,6,0.225,0.625,0.15,8.326383534674976
