"Trial","Event_raw","Event_trial","Response","Resp_Int","Initiator","Log_Init","When","Class","Dist_metric","Log_dist_metric","Dist_topological","Ang_area","Rank_area","Loom","Log_loom","Ang_pos","Heading"
"may-g1",4,4,0,7.918524198,835.1035828,2.921740347,"Before","Schreck",35.61245597,1.551601925,10,0.135088484,8,0.053407075,-1.272401206,1.909765794,0.715147693
"may-g1",4,4,0,43.18962644,835.1035828,2.921740347,"Before","Schreck",43.53107728,1.638799415,15,0.050265482,13,0.021991149,-1.657752087,2.128429602,0.123862937
"may-g1",4,4,0,33.11003124,835.1035828,2.921740347,"Before","Schreck",29.07246201,1.463481812,5,0.075398224,16,0.100530965,-0.997700149,2.757619462,0.122722239
"may-g1",4,4,0,58.74085707,835.1035828,2.921740347,"Before","Schreck",45.40805248,1.657132876,21,0,10,0.043982297,-1.356722092,2.088807424,0.002527464
"may-g1",4,4,0,14.00334097,835.1035828,2.921740347,"Before","Schreck",45.35100989,1.656586962,20,0.025132741,16,0.050265482,-1.298730145,3.125750707,0.342390163
"may-g1",4,4,0,36.56152703,835.1035828,2.921740347,"Before","Schreck",45.19192302,1.655060822,19,0.116238928,10,0.069115038,-1.160427446,1.528820675,0.326991682
"may-g1",4,4,0,26.80169588,835.1035828,2.921740347,"Before","Schreck",38.88282091,1.589757765,11,0.031415927,27,0.040840704,-1.388906775,0.049310024,0.234685339
"may-g1",4,4,0,16.31675119,835.1035828,2.921740347,"Before","Schreck",41.67914775,1.61991883,12,0.031415927,24,0.034557519,-1.461457442,0.253538043,0.305813971
"may-g1",5,5,0,22.10404245,384.7959347,2.585230475,"Before","Schreck",6.805095582,0.83283423,1,0.069115038,5,0.009424778,-2.025728873,2.988293427,0.166847198
"may-g1",5,5,0,17.59314088,384.7959347,2.585230475,"Before","Schreck",38.46607264,1.585077847,5,0.100530965,4,0,-1000,2.834527473,0.106141133
"may-g1",5,5,0,26.01905653,384.7959347,2.585230475,"Before","Schreck",32.29382336,1.509119465,4,0.056548668,11,0,-1000,0.038556865,0.22062086
"may-g1",5,5,0,50.45872034,384.7959347,2.585230475,"Before","Schreck",27.99521749,1.447083846,3,0.241902634,2,0.003141593,-2.502850127,1.279369664,0.313884106
"may-g1",5,5,0,79.22433494,384.7959347,2.585230475,"Before","Schreck",43.90190701,1.642483386,6,0.128805299,3,0.012566371,-1.900790136,2.475050886,0.022115824
"may-g1",5,5,0,43.16555885,384.7959347,2.585230475,"Before","Schreck",27.98642249,1.446947386,2,0.210486708,2,0.157079633,-0.803880123,1.036537076,0.278688934
"may-g1",6,6,0,16.3536452,406.3336634,2.608882804,"Before","Schreck",19.5996055,1.29224733,11,0.370707933,6,0.006283185,-2.201820132,1.333302694,0.166726406
"may-g1",6,6,0,14.12798326,406.3336634,2.608882804,"Before","Schreck",33.66300617,1.527152897,25,0.138230077,10,0.040840704,-1.388906775,1.056712857,0.192309663
"may-g1",6,6,0,9.12625838,406.3336634,2.608882804,"Before","Schreck",24.55945247,1.39021868,17,0.295309709,7,0,-1000,1.435220637,0.101766416
"may-g1",6,6,0,12.76263768,406.3336634,2.608882804,"Before","Schreck",23.53998344,1.371806153,15,0.091106187,13,0.028274334,-1.548607618,0.306642112,0.330890669
"may-g1",6,6,0,12.04004815,406.3336634,2.608882804,"Before","Schreck",19.60487309,1.292364035,12,0.292168117,2,0.037699112,-1.423668881,0.794063554,0.440038039
"may-g1",6,6,0,15.01711701,406.3336634,2.608882804,"Before","Schreck",14.57493121,1.163606514,9,0.304734487,5,0.125663706,-0.900790136,2.367493685,0.166818586
"may-g1",6,6,0,18.22629703,406.3336634,2.608882804,"Before","Schreck",29.74955169,1.473480425,23,0.006283185,26,0.116238928,-0.934648403,0.633242291,0.297667333
"may-g1",6,6,0,30.68085769,406.3336634,2.608882804,"Before","Schreck",21.00314941,1.322284422,13,0.116238928,10,0.163362818,-0.786846784,2.17695189,0.014413251
"may-g1",6,6,0,5.170509028,406.3336634,2.608882804,"Before","Schreck",12.32972804,1.090953497,7,0.20106193,8,0.015707963,-1.803880123,2.761962202,0.171365812
"may-g1",6,6,0,27.78755178,406.3336634,2.608882804,"Before","Schreck",30.06802899,1.47810496,24,0.087964594,12,0.028274334,-1.548607618,0.269615651,0.908658962
"may-g1",6,6,0,7.645702052,406.3336634,2.608882804,"Before","Schreck",23.78800058,1.37635794,16,0,30,0.087964594,-1.055692096,1.226624604,0.043527923
"may-g1",6,6,0,6.750568694,406.3336634,2.608882804,"Before","Schreck",4.798820965,0.681134548,1,0.826238868,3,0.197920337,-0.703509578,2.268186443,0.223303613
"may-g1",6,6,0,10.25929655,406.3336634,2.608882804,"Before","Schreck",10.88821721,1.036956776,5,0.530929158,5,0.084823002,-1.071486363,1.95014514,0.245945202
"may-g1",6,6,0,17.03082977,406.3336634,2.608882804,"Before","Schreck",24.58732996,1.390711369,18,0.119380521,10,0,-1000,2.491292345,0.634549291
"may-g1",6,6,0,19.76587475,406.3336634,2.608882804,"Before","Schreck",25.19813725,1.401368437,19,0,30,0.398982267,-0.399046406,0.777877358,0.274556408
"may-g1",6,6,0,10.0975646,406.3336634,2.608882804,"Before","Schreck",8.29889554,0.919020298,3,0.229336264,8,0,-1000,0.245313469,0.003177328
"may-g1",6,6,0,22.50144233,406.3336634,2.608882804,"Before","Schreck",35.56320539,1.551000898,27,0.034557519,26,0.160221225,-0.795279951,0.851855594,0.309745997
"may-g1",6,6,0,59.32051116,406.3336634,2.608882804,"Before","Schreck",6.910810397,0.839528978,2,1.090132651,1,0.10681415,-0.97137121,0.775436249,0.241644738
"may-g1",6,6,0,24.3868892,406.3336634,2.608882804,"Before","Schreck",26.14511813,1.417390608,21,0.150796447,7,0.028274334,-1.548607618,0.461614268,0.316193596
"may-g1",6,6,0,10.90064879,406.3336634,2.608882804,"Before","Schreck",16.76964731,1.224523929,10,0,29,0.320442451,-0.494249956,1.879297543,0.088483894
"may-g1",6,6,0,14.25410451,406.3336634,2.608882804,"Before","Schreck",13.28632133,1.123404752,8,0.317300858,9,0.006283185,-2.201820132,1.742318407,0.187994163
"may-g1",6,6,0,18.95113405,406.3336634,2.608882804,"Before","Schreck",34.79300319,1.541491917,26,0,23,0.021991149,-1.657752087,1.672477696,0.172866599
"may-g1",6,6,0,2.69862866,406.3336634,2.608882804,"Before","Schreck",11.54326384,1.062328622,6,0.097389372,9,0,-1000,3.06076305,0.039991332
"may-g1",6,6,0,17.12848875,406.3336634,2.608882804,"Before","Schreck",22.39860164,1.350220906,14,0,18,0.741415866,-0.129938124,2.10327759,0.139275683
"may-g1",6,6,0,8.885710588,406.3336634,2.608882804,"Before","Schreck",8.441563142,0.926422873,4,0.424115008,4,0,-1000,0.637374825,2.427791851
"may-g1",6,6,0,7.557658753,406.3336634,2.608882804,"Before","Schreck",27.69645854,1.442424241,22,0,27,0.103672558,-0.984336187,1.786034785,0.438702502
"may-g1",6,6,0,12.51628167,406.3336634,2.608882804,"Before","Schreck",25.89700377,1.41324952,20,0.040840704,13,0.087964594,-1.055692096,2.651086201,0.79497156
"may-g1",7,7,0,9.014190055,236.0233226,2.37295492,"Before","Schreck",24.23084144,1.384368496,4,0.191637152,10,0.015707963,-1.803880123,2.125278543,2.74888451
"may-g1",7,7,0,19.72221684,236.0233226,2.37295492,"Before","Schreck",33.5075456,1.525142617,15,0.169646003,8,0.009424778,-2.025728873,1.824555809,2.762349101
"may-g1",7,7,0,11.19286096,236.0233226,2.37295492,"Before","Schreck",22.17498738,1.345863381,2,0.235619449,10,0,-1000,1.92763091,2.986469656
"may-g1",7,7,0,22.08308119,236.0233226,2.37295492,"Before","Schreck",43.81476037,1.641620441,26,0.091106187,10,0.015707963,-1.803880123,2.580594091,2.137536035
