"Trial","Event_raw","Event_trial","Response","Resp_Int","Initiator","Log_Init","When","Dist_metric","Log_dist_metric","Dist_topological","Ang_area","Rank_area","Loom","Log_loom","Ang_pos","Heading"
"g1",14,14,0,37.10461899,194.8836855,2.289775484,"Before",44.67768364,1.650090649,3,0.147654855,6,0,-1000,0.909935015,0.823674192
"g1",14,14,0,20.25050966,194.8836855,2.289775484,"Before",28.9105411,1.46105622,1,0.116238928,12,0.012566371,-1.900790136,0.427935236,0.27089886
"g1",14,14,0,12.22390607,194.8836855,2.289775484,"Before",38.48036163,1.585239145,2,0.197920337,10,0.009424778,-2.025728873,1.524238693,0.031592194
"g1",15,15,1,196.1925227,384.3123488,2.58468434,"Before",0.928575452,-0.032182802,1,2.657787385,1,1.23150432,0.09043594,1.396820897,1.809138416
"g1",15,15,0,18.07297983,384.3123488,2.58468434,"Before",18.86491363,1.275654821,14,0.084823002,15,0.050265482,-1.298730145,0.168202394,2.599054214
"g1",15,15,0,5.127649639,384.3123488,2.58468434,"Before",25.6974185,1.409889497,32,0,26,0.179070781,-0.746975272,3.012067255,0.435315184
"g1",15,15,0,22.95974124,384.3123488,2.58468434,"Before",19.71932024,1.29489194,18,0.147654855,13,0.141371669,-0.849637614,1.636859145,3.793591824
"g1",15,15,0,22.23565958,384.3123488,2.58468434,"Before",19.05785772,1.28007408,15,0.386415896,2,0.075398224,-1.122638886,2.105503763,1.187998938
"g1",15,15,0,13.77534658,384.3123488,2.58468434,"Before",24.02111055,1.380593082,26,0,15,0.062831853,-1.201820132,2.410853943,4.40276586
"g1",15,15,0,-0.443298087,384.3123488,2.58468434,"Before",9.986206354,0.999400536,2,0.659734457,3,0.263893783,-0.578570841,1.51828388,2.21261828
"g1",15,15,0,15.28118075,384.3123488,2.58468434,"Before",23.94762961,1.379262532,25,0.078539816,15,0.043982297,-1.356722092,0.012252782,1.845301495
"g1",15,15,0,26.20168375,384.3123488,2.58468434,"Before",14.80343998,1.170362647,7,0.348716785,7,0.172787596,-0.762487438,0.554142794,2.367168267
"g1",15,15,0,5.677289777,384.3123488,2.58468434,"Before",29.04271127,1.463037157,37,0,17,0.018849556,-1.724698877,3.089870587,4.18692786
"g1",15,15,0,13.19614342,384.3123488,2.58468434,"Before",12.51027013,1.097266687,5,0.552920307,4,0.141371669,-0.849637614,2.34454422,1.47887224
"g1",15,15,0,13.05061879,384.3123488,2.58468434,"Before",23.3688976,1.368638226,24,0.273318561,2,0.084823002,-1.071486363,1.691236111,1.64350558
"g1",15,15,0,20.26634358,384.3123488,2.58468434,"Before",18.77578962,1.27359821,13,0,32,0.113097336,-0.946547627,0.150365245,4.037387573
"g1",15,15,0,18.28740644,384.3123488,2.58468434,"Before",24.22717186,1.38430272,28,0.15393804,7,0.163362818,-0.786846784,0.258238662,1.769866785
"g1",15,15,0,16.6119793,384.3123488,2.58468434,"Before",19.78072419,1.296242187,19,0,15,0.031415927,-1.502850127,2.448094101,1.557219628
"g1",15,15,0,16.78059381,384.3123488,2.58468434,"Before",26.03536152,1.415563612,33,0.018849556,25,0.235619449,-0.627788864,2.10587328,3.857863723
"g1",15,15,0,17.29483038,384.3123488,2.58468434,"Before",10.74144663,1.031062775,4,0.675442421,5,0.232477856,-0.633618408,1.93565729,2.365109838
"g1",15,15,0,6.128920304,384.3123488,2.58468434,"Before",13.6068626,1.133757999,6,0.584336234,6,0.138230077,-0.859397451,1.841332444,1.109588223
"g1",15,15,0,23.68413092,384.3123488,2.58468434,"Before",19.66716499,1.293741761,17,0.197920337,8,0.175929189,-0.7546621,1.367285165,2.609673663
"g1",15,15,0,5.442565126,384.3123488,2.58468434,"Before",28.19675624,1.45019915,35,0,13,0.100530965,-0.997700149,1.963048244,3.251441424
"g1",15,15,0,0.57762304,384.3123488,2.58468434,"Before",21.05206308,1.323294663,22,0,8,0,-1000,2.383029656,0.981841286
"g1",15,15,0,23.38935205,384.3123488,2.58468434,"Before",16.25771471,1.211059498,8,0,21,0,-1000,1.071385801,2.350238571
"g1",15,15,0,20.05184215,384.3123488,2.58468434,"Before",20.94999493,1.321183922,21,0,14,0,-1000,1.718374648,2.781972727
"g1",15,15,0,19.63850221,384.3123488,2.58468434,"Before",20.72348518,1.316462795,20,0,16,0.857654794,-0.06668748,1.828186331,2.792777607
"g1",15,15,0,18.87835249,384.3123488,2.58468434,"Before",17.0208783,1.230981967,11,0.175929189,11,0,-1000,2.408376084,1.420994986
"g1",15,15,0,13.7192511,384.3123488,2.58468434,"Before",28.93594131,1.461437615,36,0,15,0,-1000,2.154094608,4.53024094
"g1",15,15,0,17.56625542,384.3123488,2.58468434,"Before",19.32984385,1.286228346,16,0.122522113,11,0.301592895,-0.520578894,2.612315702,1.113226636
